Category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2W,33,22,17,17,8,0,0,0,0,0
3W,0,10,1,0,0,0,0,0,0,0
2W,254,246,164,616,664,593,3058,2538,0,0
3W,63,94,42,5,0,0,0,0,0,0
4W,0,0,1,0,0,0,0,0,0,0
2W,1,34,162,5785,11155,8247,46260,97828,29964,2211
3W,0,0,72,47,15,0,3,1,0,0
2W,19,54,4,1,1,0,0,0,0,0
2W,92,157,74,39,33,0,0,182,11142,19479
3W,0,0,229,62,0,0,0,0,0,0
4W,0,1,0,0,0,0,0,0,0,0
3W,0,0,19,46,85,50,151,449,624,321
3W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,48,192,177,528,1162,1367,580
4W,0,0,0,0,1,0,0,0,0,0
2W,0,1,0,0,0,0,0,0,0,0
4W,0,0,0,1,0,0,0,0,0,0
3W,0,0,0,6,1,20,28,2,12,4
3W,0,27,14,0,0,0,0,2,0,0
3W,0,37,62,3,0,0,0,0,0,0
3W,0,0,253,257,131,37,441,297,122,21
3W,0,0,87,155,108,7,2,5,0,0
3W,0,0,2,0,0,0,0,0,0,0
3W,0,0,1,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,0,6,4
2W,134,81,120,4,0,0,0,0,0,0
4W,2,1,0,1,0,0,0,0,0,0
2W,119,195,36,19,4,0,0,30,0,0
4W,0,2,0,0,0,0,0,0,0,0
2W,0,0,0,0,0,0,0,14,84,163
2W,0,0,0,0,0,0,0,0,18,3
2W,0,0,1,0,0,0,0,0,0,0
3W,0,0,918,1216,1855,689,1091,2599,3741,2783
2W,0,0,0,0,0,0,0,2,209,163
3W,0,0,0,0,20,15,69,217,785,340
3W,0,5,688,1168,856,470,1046,4397,12840,7423
2W,0,0,0,0,0,0,0,33,32,5
4W,0,0,0,0,0,0,0,2,0,0
3W,0,152,456,676,238,30,13,21,62,48
2W,0,0,0,0,0,0,0,0,2,1
3W,0,0,0,0,0,0,0,0,125,255
3W,0,0,0,256,616,292,399,848,1011,562
3W,0,0,0,0,0,0,159,306,91,17
3W,0,1,0,0,0,0,0,0,0,0
4W,0,5,2,1,233,206,165,619,1606,757
4W,0,0,0,0,0,0,0,5,0,1
3W,0,0,1,0,0,0,0,0,0,0
